title,address,tel,avaliable,remark,twd97X,twd97Y,wgs84aX,wgs84aY
新北市私立鵝芽芽托嬰中心,新北市汐止區大同路二段184巷13號1樓,86463888,22,,315964.64,2772978.05,121.653831259283,25.0635689614492
新北市私立優兒寶貝托嬰中心,新北市汐止區大同路二段240號3樓之1,86461769,58,,315984.8,2773190.01,121.654041144352,25.0654815550923
新北市私立童之樂托嬰中心,新北市汐止區汐萬路一段17號1樓,26485521,31,,316171.1,2773411.45,121.65589834122,25.067472472268
新北市私立北大托嬰中心,新北市三峽區復興路177巷8號1樓、10號1~2樓,26721286,10,,287361.06,2758955.77,121.369944131136,24.9379508310573
新北市私立佳園托嬰中心,新北市三峽區大學路105號1、2樓,86742618,30,,287918.05,2759346.77,121.375469974682,24.9414670611855
新北市私立璦俐兒托嬰中心,新北市三峽區大學路89號,26742363,30,,287954.3,2759379.84,121.375829806592,24.9417647472304
新北市私立瑪莉亞蒙特梭利托嬰中心,新北市三峽區大德路487號(第一層及夾層),26731105,50,,287784.5,2760053.64,121.374166884238,24.9478521823333
新北市私立快樂小象三峽托嬰中心,新北市三峽區大義路23號1、2樓及25號1、2樓,86723027,45,,288226.37,2759607.99,121.378530212565,24.9438177229053
新北市私立小姆媽托嬰中心,新北市五股區民義路一段124號,22918455,17,,293861.39,2775365.77,121.43482953037,25.0859284437226
新北市私立勁寶兒長榮托嬰中心,新北市蘆洲區長榮路251號1樓,22881068,49,,296421.8,2775374.89,121.460212433246,25.0859341783101
新北市私立育嬰托嬰中心,新北市蘆洲區永平街32巷45弄1、3號1樓,82854599,39,,296344.49,2776085.28,121.459469978033,25.0923499870646
新北市私立榕榕園托嬰中心,新北市蘆洲區重陽街15號2樓、17號夾層及2樓,82860160,15,,298502.54,2774968.59,121.480825468552,25.0822006928685
新北市私立精英寶貝托嬰中心,"新北市蘆洲區民族路203號2樓, 203-1號2樓",82828110,42,,298239.07,2775751.54,121.478241071908,25.0892775881245
新北市私立小寶寶蘆洲托嬰中心,新北市蘆洲區中正路373號3樓,82855656,64,,296858.97,2775904.76,121.464564412275,25.0907043373023
新北市私立艾兒嘉托嬰中心,新北市蘆洲區長榮路130號1、2樓,22890006,59,,296564.07,2775216.76,121.461617491338,25.0845021786858
新北市私立幼苗國際托嬰中心,新北市三重區中正北路165巷2號2樓,89814080,29,,298295.05,2773578.76,121.47871979663,25.0696600624731
新北市私立愛兒園托嬰中心,新北市三重區集仁街116、118號1樓,28576518,30,,298918.52,2775398.67,121.48496436552,25.0860700871936
新北市私立子禕天地托嬰中心,新北市三重區光興街2號1~2樓,29736113,15,,300270.09,2772519.23,121.498257841065,25.0600302441938
新北市私立金寶貝托嬰中心,新北市三重區信賢街23號1樓,28559280,30,,299357.52,2775626.51,121.489324535835,25.0881127237342
新北市私立宥寶兒托嬰中心,新北市三重區忠孝路三段51號1樓,29885567,20,,298527.06,2773258.12,121.481008172474,25.0667578983148
新北市私立勁寶兒喜芊園托嬰中心,"新北市三重區成功路46號1樓, 42號2樓, 42號2樓之1, 42號2樓之2, 42號2樓之3",89761527,60,,299348.75,2771470.13,121.48908854499,25.0505893199069
新北市私立甜甜屋托嬰中心,新北市三重區重新路四段63號2樓,89811737,20,,299173.65,2772203.72,121.487379440046,25.0572178677438
新北市私立小梅子托嬰中心,新北市三重區大智街94之3號2樓,29888091,19,,299784.13,2773205.32,121.493466197551,25.0662403108166
新北市私立金寶貝三重二館托嬰中心,新北市三重區信賢街25號1樓,28559280,26,,299343.49,2775630.75,121.489185670229,25.0881514004177
新北市私立快樂寶貝托嬰中心,新北市三重區集美街112巷5號1樓,89761517,20,,299358.92,2771847.56,121.489202867229,25.0539963659128
新北市私立勁寶兒林口托嬰中心,新北市林口區隆林街101巷2號1、2、3樓,26013666,35,,288825.7,2774092.24,121.384872104059,25.0745687735933
新北市私立咕咕園林口托嬰中心,新北市林口區文化三路2段32之2號1樓,26033613,37,,287741.87,2774525.13,121.37414036075,25.0785044293997
新北市私立百禾蒙特梭利托嬰中心,新北市林口區文化三路2段30號1樓,86014321,28,,287713.2,2774548.31,121.373856779659,25.0787143467348
新北市私立心欣托嬰中心,新北市林口區佳林路211號1、2樓,26028353,32,,288745.6,2774315.58,121.384084457041,25.0765871340589
新北市私立長青托嬰中心,新北市鶯歌區鶯桃路188號2樓,26794011,20,,284106.24,2761247,121.337772223512,24.9587132410024
新北市私立欣欣寶貝屋托嬰中心,新北市鶯歌區德昌二街49號1-3樓,26783958,20,,283666.15,2761226.06,121.333413336467,24.9585339907318
新北市私立青子園托嬰中心,"新北市八里區中山路二段447巷30, 32號1樓",26102677,27,,290057.52,2781899.03,121.39731041178,25.1450165000253
