Column1._id,Column1.服務類別,Column1.機關類別,Column1.機關名稱,Column1.行政區域,Column1.AP編號,Column1.AP廠牌,Column1.AP_MAC,Column1.APIP,Column1.地址,Column1.線路編號,Column1.線路頻寬(M),Column1.經度,Column1.緯度,Column1.熱點類別,Column1.HUBSITE ID,Column1.HUBSITE NAME,Column1.英文地址
44,IH,市政機關,替代役中心,中正區,ZZ220058,Aruba,9C:1C:12:7F:2B:BO,10.114.71.218,臺北市中正區汀洲路三段8號1樓(教室一),223Y198597,60M/20M,121.526882,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
45,IH,市政機關,替代役中心,中正區,ZZ220057,Aruba,00:24:6C:01:17:A0,10.114.71.217,臺北市中正區汀洲路三段8號1樓(運動中心-2),223Y198597,60M/20M,121.52688899999998,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
46,IH,市政機關,替代役中心,中正區,ZZ220056,Aruba,9C:1C:12:7F:2B:80,10.114.71.216,臺北市中正區汀洲路三段8號1樓(運動中心-1),223Y198597,60M/20M,121.526886,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
47,IH,市政機關,替代役中心,中正區,ZZ220055,Aruba,9C:1C:12:7F:2B:40,10.114.71.215,臺北市中正區汀洲路三段8號1樓(服務台前吸頂),223Y198597,60M/20M,121.52688300000001,25.017718,,HB15000561,兵役局替代役中心,"No.8, Zhongzheng Dist., Taipei City, Taiwan (R.O.C.)"
48,IH,市集,成德市場,南港區,NG230006,Aruba,9C:1C:12:7E:F6:10,10.114.68.71,臺北市南港區同德路100號(75攤位前),227Y144584,60M/20M,121.586782,25.046123,,HB12000358,成德市場,"No. 100, Tongde Road, Nangang District, Taipei City, Taiwan 115"
49,IH,市集,成德市場,南港區,NG230005,Aruba,00:24:6C:4C:A2:30,10.114.68.70,臺北市南港區同德路100號(129攤位前),227Y144584,60M/20M,121.586782,25.046125,,HB12000358,成德市場,"No. 100, Tongde Road, Nangang District, Taipei City, Taiwan 115"
50,IH,市政機關,台北民生重建中心,松山區,SS220022,Aruba,6C:F3:7F:A1:31:70,10.114.65.189,臺北市松山區民生東路五段163-1號7樓(重建中心門口天花板上),227Y142326,20M/5M,121.56283700000002,25.059272,主要市集,HB06000666,三民分館,"7F., No.163-1, Sec. 5, Minquan E. Rd., Songshan Dist., Taipei City 10592, Taiwan"
51,IH,市政機關,陽明教養院-華岡院區,士林區,SL220043,Aruba,6C:F3:7F:9A:FD:61,10.114.64.61,臺北市士林區凱旋路61巷4弄9號(1F大廳),286Y009615,20M/5M,121.541206,25.135196,公園,HB13000108,陽明教養院-華岡院區,"No. 9, Alley 4, Lane 61, Kaixuan Road, Shilin District, Taipei City, Taiwan"
52,IH,文化場館,錢穆故居,士林區,SL160003,Aruba,00:24:6C:FD:C3:A0,10.114.66.35,臺北市士林區臨溪路72號-(人文茶館攝影機旁),288W003358,8M/640K,121.54631699999999,25.094285,,HB12000551,錢穆故居,"No.72, Linxi Rd., Shilin Dist., Taipei City, Taiwan"
53,IH,市集,木新市場,文山區,WS230013,SMC,B8:9B:C9:F8:79:A0,10.121.2.100,臺北市文山區木新路三段310巷4號(攤位編號:112),2939Y043326,60M/20M,121.55696,24.98153,,HB15000420,木新市場,"No.4, Lane 310, Sec. 3, Muxin Rd., Wenshan Dist., Taipei City"
54,IH,市集,木新市場,文山區,WS230012,SMC,B8:9B:C9:F5:25:C0,10.121.2.99,臺北市文山區木新路三段310巷4號(攤位編號:92),2939Y043326,60M/20M,121.556968,24.981532,,HB15000420,木新市場,"No.4, Lane 310, Sec. 3, Muxin Rd., Wenshan Dist., Taipei City"
55,IH,市集,木新市場,文山區,WS230011,SMC,B8:9B:C9:F8:70:80,10.121.2.98,臺北市文山區木新路三段310巷4號(攤位編號:52),2939Y043326,60M/20M,121.55696599999999,24.981536,,HB15000420,木新市場,"No.4, Lane 310, Sec. 3, Muxin Rd., Wenshan Dist., Taipei City"
56,IH,文化場館,青少年發展中心,中正區,ZZ160007,Aruba,18:64:72:7C:BA:70,10.114.71.169,臺北市中正區仁愛路一段17號5樓(展場中央天花板),223Y156502,60M/20M,121.52201299999999,25.03901,,HB15000325,青少年發展中心,"5F., No.17, Sec. 1, Ren’ai Rd., Zhongzheng Dist., Taipei City"
332,OH,智慧公車亭,捷運北投站,北投區,BT270011,Aruba,00:24:6C:5A:6D:70,10.114.51.88,臺北市北投區北投路二段(捷運北投站出口候車亭),,4G,121.498249,25.131324,智慧公車亭,HB12001995,智慧公車亭　捷運北投站,"Beitou District, Taipei City, Taiwan 112"
57,IH,市集,永樂市場,大同區,DT230005,SMC,B8:9B:C9:F9:92:E0,10.120.62.148,臺北市大同區迪化街一段21號(攤位編號:1018),225Y140557,20M/5M,121.510531,25.054812,主要市集,HB12000355,永樂市場,"No.21, Sec. 1, Dihua St., Datong Dist., Taipei City"
58,IH,市集,永樂市場,大同區,DT230004,SMC,B8:9B:C9:F5:20:00,10.120.62.147,臺北市大同區迪化街一段21號(攤位編號:1025),225Y140557,20M/5M,121.51053200000001,25.054818,,HB12000355,永樂市場,"No.21, Sec. 1, Dihua St., Datong Dist., Taipei City"
59,IH,市政機關,第二殯儀館,大安區,DA220018,Aruba,18:64:72:7C:BA:C0,10.114.71.171,臺北市大安區辛亥路三段330號(火葬場內櫃檯旁天花板),223W020219,8M/640K,121.553031,25.013756,,HB15000326,第二殯儀館,"No.330, Sec. 3, Xinhai Rd., Da'an Dist., Taipei City"
60,IH,區民活動中心,士林中洲區民活動中心,士林區,SL300008,Aruba,18:64:72:7C:BB:50,10.114.39.234,臺北市士林區延平北路九段80號1樓(中央天花板),288Y096517,16M/3M,121.474814,25.106337,,HB15000285,區民活動中心　士林中洲,"1F., No.80, Sec. 9, Yanping N. Rd., Shilin Dist., Taipei City, Taiwan"
61,IH,區民活動中心,士林福安區民活動中心,士林區,SL300007,Aruba,00:24:6C:44:8C:60,10.114.39.233,臺北市士林區延平北路七段114號2樓(中央天花板),288Y096730,16M/3M,121.494464,25.097353,公園,HB15000284,區民活動中心　士林福安,"2F., No.114, Sec. 7, Yanping N. Rd., Shilin Dist., Taipei City, Taiwan"
62,IH,區民活動中心,萬華萬華第一區民活動中心,萬華區,WH300007,Aruba,24:DE:C6:95:7B:40,10.114.39.177,臺北市萬華區萬大路614之1號(萬大第一)中央天花板,223Y157669,16M/3M,121.50096699999999,25.029031,,HB13000822,區民活動中心　萬華萬華第一,"No.614-1, Wanda Rd., Wanhua Dist., Taipei City, Taiwan"
63,OH,市集,第一果菜批發市場,萬華區,WH230005,Aruba,00:24:6C:5A:3A:70,10.120.141.113,臺北市萬華區萬大路533號(果菜市場0601~0633牌子旁鐵桿近44柱子),223W016417,8M/640K,121.4976,25.018729999999998,,HB14000012,第一果菜批發市場,"No.533, Wanda Rd., Wanhua Dist., Taipei City, Taiwan"
64,OH,市集,第一果菜批發市場,萬華區,WH230004,Aruba,00:24:6C:5A:A1:20,10.120.141.121,臺北市萬華區萬大路533號(果菜市場56柱子中央走道上方),223W016418,8M/640K,121.4984,25.01836,,HB14000012,第一果菜批發市場,"No.533, Wanda Rd., Wanhua Dist., Taipei City, Taiwan"
65,IH,區民活動中心,大安光信區民活動中心,大安區,DA300001,Aruba,24:DE:C6:8A:44:F0,10.114.39.121,臺北市大安區延吉街236巷17號2樓,223Y157591,16M/3M,121.555021,25.036117,,HB13000766,區民活動中心　大安光信,"2F., No.17, Ln. 236, Yanji St., Da’an Dist., Taipei City 106, Taiwan"
66,IH,市政機關,交通警察大隊,中正區,ZZ220051,Aruba,00:24:6C:FE:F9:30,10.114.71.159,臺北市中正區愛國西路26號(1樓聯合服務中心服務台前方天花板),223Y181705,16M/3M,121.51098600000002,25.035408,,HB14000628,臺北市政府警察局交通警察大隊,"No.26, Aiguo W. Rd., Zhongzheng Dist., Taipei City, Taiwan"
67,OH,公園,農安公園,中山區,ZS200008,Aruba,00:24:6C:5A:92:40,10.114.51.190,臺北市中山區農安街227巷3弄22之1號(農安公園路燈),,3G,121.53511499999999,25.065268,,HB15000027,公園　農安公園,"No.22-1, Aly. 3, Lane 227, Nong’an St., Zhongshan Dist., Taipei City, Taiwan"
68,IH,文化場館,客委會-客家文化會館,大安區,DA220014,Aruba,18:64:72:7C:AF:80,10.114.71.161,臺北市大安區信義路三段157巷11號(4樓教室),223Y182061,20M/5M,121.543058,25.034527,,HB14000633,客委會-客家文化會館,"4F., No.11, Lane 157, Sec. 3, Xinyi Rd., Da'an Dist., Taipei City, Taiwan"
69,OL,公園,熱點　陽明山花鐘公園,北投區,BT200005,Wavion,00:18:25:12:BE:61,10.120.200.249,臺北市北投區湖山路二段(陽明山花鐘公園停車場10米路燈),286Y009498,60M/20M,121.538827,25.158631,公園,HB15000054,熱點　陽明山花鐘公園,"Sec. 2, Hushan Rd., Beitou Dist., Taipei City, Taiwan"
70,IH,市集,木柵市場,文山區,WS230009,SMC,B8:9B:C9:F8:72:20,10.120.58.69,臺北市文山區保儀路一段13巷3號(2樓148攤位左邊上方),2939Y036909,60M/20M,121.56813999999999,24.986607,主要市集,HB15000009,木柵市場,"1F, No.3, Lane 13, Wenshan Dist., Taipei City, Taiwan"
71,IH,市集,木柵市場,文山區,WS230008,SMC,B8:9B:C9:F5:28:E0,10.120.58.68,臺北市文山區保儀路一段13巷3號(2樓149攤位左邊上方),2939Y036909,60M/20M,121.56813999999999,24.986604999999997,主要市集,HB15000009,木柵市場,"1F, No.3, Lane 13, Wenshan Dist., Taipei City, Taiwan"
72,IH,市集,木柵市場,文山區,WS230007,SMC,B8:9B:C9:F7:59:A0,10.120.58.67,臺北市文山區保儀路一段13巷3號(1樓57攤位前走道上方),2939Y036909,60M/20M,121.56816,24.986603,主要市集,HB15000009,木柵市場,"1F, No.3, Lane 13, Wenshan Dist., Taipei City, Taiwan"
73,IH,市集,木柵市場,文山區,WS230006,SMC,B8:9B:C9:F5:20:60,10.120.58.66,臺北市文山區保儀路一段13巷3號(1樓44攤位左邊上方),2939Y036909,60M/20M,121.56813999999999,24.986603,主要市集,HB15000009,木柵市場,"1F, No.3, Lane 13, Wenshan Dist., Taipei City, Taiwan"
74,IH,市政機關,停車管理工程處服務台,信義區,XY220019,Aruba,24:DE:C6:8A:49:50,10.114.71.153,臺北市信義區松德路300號5樓(進入秘書室前方天花板),227Y206353,20M/5M,121.574277,25.031852999999998,其他市政機關,HB14000539,台北市停車管理工程處,"5F., No.300, Songde Rd., Xinyi Dist., Taipei City, Taiwan"
75,IN,聯合醫院,林森中醫院區,中山區,ZS040021,Dlink,1C:BD:B9:80:8F:C3,10.120.192.110,臺北市中山區林森北路530號6樓(606病房門前天花板上方),225Y133768,100M/40M,121.525446,25.063465,市立聯合醫院,HB06000613,疾病管制院區(林森),"6F., No.530, Linsen N. Rd., Zhongshan Dist., Taipei City, Taiwan"
76,IN,聯合醫院,林森中醫院區,中山區,ZS040020,Dlink,B8:A3:86:06:BC:B4,10.120.192.109,臺北市中山區林森北路530號6樓(603病房門前天花板上方),225Y133768,100M/40M,121.52545,25.063431,市立聯合醫院,HB06000613,疾病管制院區(林森),"6F., No.530, Linsen N. Rd., Zhongshan Dist., Taipei City, Taiwan"
77,IH,圖書館,龍華民眾閱覽室,南港區,NG030010,Aruba,9C:1C:12:7F:23:90,10.114.71.151,臺北市南港區東新街63巷8號(B1自修室),227Y146975,16M/3M,121.58698700000001,25.047586,市立圖書館,HB06000649,龍華民眾閱覽室,"No.8, Lane 63, Dongxin St., Nangang Dist., Taipei City, Taiwan"
